Id,State,Country,Lat,Long,temp,min,max,dewp,prcp,fog
1,,Afghanistan,33,65,42.6,33.6,54.9,27.4,0,0
2,,Afghanistan,33,65,42,32.7,55.9,22.8,99.99,1
3,,Afghanistan,33,65,40.1,36.9,43.2,34.5,0.17,1
4,,Afghanistan,33,65,46,37.9,56.3,37.8,0.57,1
5,,Afghanistan,33,65,42.8,36.1,53.1,33.2,0,1
6,,Afghanistan,33,65,43,36.5,50.7,35.6,0.04,0
7,,Afghanistan,33,65,41.7,34.7,48.2,34.7,0,0
8,,Afghanistan,33,65,15.2,13.3,16.9,0.2,0,0
9,,Afghanistan,33,65,15.2,13.3,16.9,0.2,0,0
10,,Afghanistan,33,65,5.6,4.8,7.7,-0.6,0,1
11,,Afghanistan,33,65,5.6,4.8,7.7,-0.6,0,1
12,,Afghanistan,33,65,20.5,3.9,36,12.6,1.73,1
13,,Afghanistan,33,65,20.5,3.9,36,12.6,1.73,1
14,,Afghanistan,33,65,4.2,-0.6,12.9,-1.3,0,1
15,,Afghanistan,33,65,4.2,-0.6,12.9,-1.3,0,1
16,,Afghanistan,33,65,43.1,29.1,58.1,22,0,0
17,,Afghanistan,33,65,44.5,31.6,60.3,18.4,0,0
18,,Afghanistan,33,65,47.8,34.5,63.5,17.2,0,0
19,,Afghanistan,33,65,36.9,31.1,42.1,29.4,0.08,1
20,,Afghanistan,33,65,36.9,31.1,42.1,29.4,0.08,1
21,,Afghanistan,33,65,39.5,32.7,47.7,31,0.12,1
22,,Afghanistan,33,65,39,30,46,29.2,0.04,1
23,,Afghanistan,33,65,23.1,13.6,37.8,12.7,1.81,1
24,,Afghanistan,33,65,24.2,11.3,35.1,7.4,0,0
25,,Afghanistan,33,65,26.3,19.6,35.8,16.2,0,0
26,,Afghanistan,33,65,24.2,17.4,33.1,11.9,0,0
27,,Afghanistan,33,65,32.9,28.2,41.4,15.1,0,0
28,,Afghanistan,33,65,32.8,24.6,46.2,21.5,0.04,1
29,,Afghanistan,33,65,23.9,16.2,33.1,12.1,0.04,1
30,,Afghanistan,33,65,26,12.9,38.3,10.1,0,0
31,,Afghanistan,33,65,34.5,22.6,44.4,23.1,0,1
32,,Afghanistan,33,65,37.9,26.4,52,22.4,0,1
33,,Afghanistan,33,65,39.3,28.2,50.2,23.8,0,1
34,,Afghanistan,33,65,40,32.4,48,32.7,0.47,1
35,,Afghanistan,33,65,40.2,32.9,47.5,28.2,0,1
36,,Afghanistan,33,65,46.7,35.2,55.9,28.2,0,1
37,,Afghanistan,33,65,39.3,33.4,48,33.4,1.57,1
38,,Afghanistan,33,65,36.5,29.5,44.8,29.9,0.47,1
39,,Afghanistan,33,65,36.5,29.5,44.8,29.9,0.47,1
40,,Afghanistan,33,65,58.6,45.7,73.4,31,0,0
41,,Afghanistan,33,65,36.3,32.2,48.7,31.3,0,1
42,,Afghanistan,33,65,36.3,32.2,48.7,31.3,0,1
43,,Afghanistan,33,65,35.4,28.4,47.7,28,0.35,1
44,,Afghanistan,33,65,31.9,27.3,38.5,23.9,1.57,1
45,,Afghanistan,33,65,34.1,25.2,45,20.7,0,1
46,,Afghanistan,33,65,25,18.1,34.7,11.3,0,1
47,,Afghanistan,33,65,28.6,16.5,42.1,10,0,1
48,,Afghanistan,33,65,31.1,23,41.9,22.2,0,1
49,,Afghanistan,33,65,28.9,24.3,39,17,0.12,1
50,,Afghanistan,33,65,26.7,21.7,32.9,16.7,0,1
51,,Afghanistan,33,65,30.7,16.9,47.7,20.4,0,1
52,,Afghanistan,33,65,35.7,24.3,53.1,18.4,0,1
53,,Afghanistan,33,65,36.4,26.8,53.4,18,0,1
54,,Afghanistan,33,65,40.1,29.3,52.7,15.7,0,0
55,,Afghanistan,33,65,40.1,29.3,52.7,15.7,0,0
56,,Afghanistan,33,65,43.8,35.8,56.3,32.6,0.04,1
57,,Afghanistan,33,65,43.8,35.8,56.3,32.6,0.04,1
58,,Afghanistan,33,65,45.2,32,59.7,32.5,0.31,1
59,,Afghanistan,33,65,39.4,32.7,43.5,35.5,1.22,1
60,,Afghanistan,33,65,42.4,34.7,54.3,29.8,2.2,1
61,,Afghanistan,33,65,44.7,35.8,53.8,31.6,0,1
62,,Afghanistan,33,65,45,37.9,50.4,36.6,0.47,1
63,,Afghanistan,33,65,33.1,24.1,43.2,28.5,5.43,1
94,,Albania,41.1533,20.1683,42.3,31.3,55.8,32.8,0,0
95,,Albania,41.1533,20.1683,44.1,34.2,59.4,36.1,0,0
96,,Albania,41.1533,20.1683,46.7,32,63,34.8,0,0
97,,Albania,41.1533,20.1683,51.5,42.4,59,45.3,0,1
98,,Albania,41.1533,20.1683,52.5,49.6,55.8,51.8,0.06,1
99,,Albania,41.1533,20.1683,50.9,49.3,55,50.7,1.38,1
100,,Albania,41.1533,20.1683,52.7,48.2,57.2,47.7,0.08,1
101,,Albania,41.1533,20.1683,54,50.4,62.2,51.2,1.1,1
102,,Albania,41.1533,20.1683,49.8,43.5,60.4,41,0.39,1
103,,Albania,41.1533,20.1683,49.5,37.4,62.6,37.5,0,0
104,,Albania,41.1533,20.1683,55.1,49.1,65.1,49.3,0.01,1
105,,Albania,41.1533,20.1683,55.7,50,64.4,48.4,0,0
106,,Albania,41.1533,20.1683,55.9,46.4,65.1,49.5,0,0
107,,Albania,41.1533,20.1683,56.1,46.8,65.5,47.7,0,1
108,,Albania,41.1533,20.1683,47.4,42.1,53.6,29.1,0.24,1
109,,Albania,41.1533,20.1683,42.4,37.4,50,12.9,0,0
110,,Albania,41.1533,20.1683,42.6,33.8,57.9,20,0,0
111,,Albania,41.1533,20.1683,46.3,31.6,59,27.5,0,0
112,,Albania,41.1533,20.1683,46.3,34.7,61.5,33.9,0,0
113,,Albania,41.1533,20.1683,51,42.1,59.4,43.6,0,0
114,,Albania,41.1533,20.1683,59,53.6,64.4,51.4,0,0
115,,Albania,41.1533,20.1683,57.5,53.2,65.5,54.4,0,1
116,,Albania,41.1533,20.1683,53.8,44.6,67.6,43.7,0,0
117,,Albania,41.1533,20.1683,51.9,48.2,57.6,43.5,0.59,1
118,,Albania,41.1533,20.1683,51.2,39.9,65.1,32.5,0,0
119,,Albania,41.1533,20.1683,51.2,40.1,64.8,32.7,0,0
120,,Albania,41.1533,20.1683,50.6,38.5,64.4,39.4,0,0
121,,Albania,41.1533,20.1683,50.7,39.2,62.2,44.3,0,0
122,,Albania,41.1533,20.1683,52.5,45.5,64,48.2,0,0
123,,Albania,41.1533,20.1683,51.2,46.8,58.1,35.7,0.21,1
124,,Albania,41.1533,20.1683,45.7,33.1,58.3,26.8,0,0
125,,Albania,41.1533,20.1683,49,40.6,58.6,27.2,0,0
126,,Albania,41.1533,20.1683,48.5,36.3,60.1,33.7,0,0
127,,Albania,41.1533,20.1683,51.6,39.2,66.2,42.6,0,0
128,,Albania,41.1533,20.1683,55.6,43.2,67.1,47.1,0,0
129,,Albania,41.1533,20.1683,57.1,46.4,65.8,45.9,0,0
130,,Albania,41.1533,20.1683,48.9,44.6,56.5,42.7,0.47,1
131,,Albania,41.1533,20.1683,46,41,53.2,40.7,0.63,1
132,,Albania,41.1533,20.1683,45.8,33.8,59,29.1,0,0
133,,Albania,41.1533,20.1683,52.4,39.6,67.3,35.6,0,0
134,,Albania,41.1533,20.1683,63,52.7,69.8,48.2,0,0
135,,Albania,41.1533,20.1683,63.3,54.7,70.7,46,0,1
136,,Albania,41.1533,20.1683,50.6,47.1,54.5,46,1.34,1
137,,Albania,41.1533,20.1683,53,46.4,61.7,42.3,0.01,0
138,,Albania,41.1533,20.1683,52.9,44.6,62.6,39.6,0.08,1
139,,Albania,41.1533,20.1683,52.7,49.6,57.9,51.6,0.87,1
140,,Albania,41.1533,20.1683,52.6,48.2,59.9,48.6,0.79,1
